ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,data_rinnovo,validita_rinnovo,nuovi_espatri,note_esp_rinnovi
0e6a6440-e66d-11ec-9d05-a3723e08b856,7ad2c5a0-e66d-11ec-9d05-a3723e08b856,2022-06-07T14:24:02.810Z,2022-06-07T14:24:17.000Z,7ad2c5a0-e66d-11ec-9d05-a3723e08b856,1896,"3 mesi",Austria-Ungheria,
d73a6e70-e66c-11ec-9d05-a3723e08b856,ee46da40-e66c-11ec-9d05-a3723e08b856,2022-06-07T14:20:07.012Z,2022-06-07T14:20:21.000Z,ee46da40-e66c-11ec-9d05-a3723e08b856,1896,3,"Austria, Germania",
d73a6e70-e66c-11ec-9d05-a3723e08b856,e733a260-e66c-11ec-9d05-a3723e08b856,2022-06-07T14:19:55.142Z,2022-06-07T14:20:22.000Z,e733a260-e66c-11ec-9d05-a3723e08b856,1894,3,"Austria, Germania",
d5731160-e66b-11ec-9d05-a3723e08b856,e96f08e0-e66b-11ec-9d05-a3723e08b856,2022-06-07T14:12:49.390Z,2022-06-07T14:13:01.000Z,e96f08e0-e66b-11ec-9d05-a3723e08b856,1894,"6 mesi","Austria, Ungheria, Germania",
ae937030-e66b-11ec-9d05-a3723e08b856,c3267790-e66b-11ec-9d05-a3723e08b856,2022-06-07T14:11:45.161Z,2022-06-07T14:12:14.000Z,c3267790-e66b-11ec-9d05-a3723e08b856,1895,3,Europa,
93dc24d0-e66b-11ec-9d05-a3723e08b856,a7939940-e66b-11ec-9d05-a3723e08b856,2022-06-07T14:10:58.900Z,2022-06-07T14:11:09.000Z,a7939940-e66b-11ec-9d05-a3723e08b856,1892,1,Austria-Ungheria,
af184d10-e66a-11ec-9d05-a3723e08b856,e882c990-e66a-11ec-9d05-a3723e08b856,2022-06-07T14:05:38.345Z,2022-06-07T14:06:41.000Z,e882c990-e66a-11ec-9d05-a3723e08b856,1899,,America,"USA - Pennsylvania"
af184d10-e66a-11ec-9d05-a3723e08b856,e2f3c0b0-e66a-11ec-9d05-a3723e08b856,2022-06-07T14:05:29.019Z,2022-06-07T14:06:41.000Z,e2f3c0b0-e66a-11ec-9d05-a3723e08b856,1892,3,Europa,
dd1682b0-e668-11ec-9d05-a3723e08b856,ee786e60-e668-11ec-9d05-a3723e08b856,2022-06-07T13:51:29.350Z,2022-06-07T13:51:40.000Z,ee786e60-e668-11ec-9d05-a3723e08b856,1892,"4 mesi",Austria-Ungheria,
7d8c3290-e668-11ec-9d05-a3723e08b856,91ac53e0-e668-11ec-9d05-a3723e08b856,2022-06-07T13:48:53.662Z,2022-06-07T13:49:16.000Z,91ac53e0-e668-11ec-9d05-a3723e08b856,1894,"6 mesi",Europa,
